t,node 1 (Volt),node 2 (Volt),node 0 (Volt),V(R1) (Volt),V(W1) (Volt),V(V1) (Volt),V(C1) (Volt),I(R1) (Amp),I(W1) (Amp),I(V1) (Amp),I(C1) (Amp)
0.228000,2.500000,-0.678322,-2.500000,3.178322,2.500000,2.500000,1.821678,0.000318,-0.000318,-0.000318,0.000318
0.230000,2.500000,-0.665660,-2.500000,3.165660,2.500000,2.500000,1.834340,0.000317,-0.000317,-0.000317,0.000317
0.232000,2.500000,-0.653047,-2.500000,3.153047,2.500000,2.500000,1.846953,0.000315,-0.000315,-0.000315,0.000315
0.234000,2.500000,-0.640485,-2.500000,3.140485,2.500000,2.500000,1.859515,0.000314,-0.000314,-0.000314,0.000314
0.236000,2.500000,-0.627974,-2.500000,3.127974,2.500000,2.500000,1.872026,0.000313,-0.000313,-0.000313,0.000313
0.238000,2.500000,-0.615511,-2.500000,3.115511,2.500000,2.500000,1.884489,0.000312,-0.000312,-0.000312,0.000312
0.240000,2.500000,-0.603099,-2.500000,3.103099,2.500000,2.500000,1.896901,0.000310,-0.000310,-0.000310,0.000310
0.242000,2.500000,-0.590736,-2.500000,3.090736,2.500000,2.500000,1.909264,0.000309,-0.000309,-0.000309,0.000309
0.244000,2.500000,-0.578422,-2.500000,3.078422,2.500000,2.500000,1.921578,0.000308,-0.000308,-0.000308,0.000308
0.246000,2.500000,-0.566158,-2.500000,3.066158,2.500000,2.500000,1.933842,0.000307,-0.000307,-0.000307,0.000307
0.248000,2.500000,-0.553942,-2.500000,3.053942,2.500000,2.500000,1.946058,0.000305,-0.000305,-0.000305,0.000305
0.250000,2.500000,-0.541775,-2.500000,3.041775,2.500000,2.500000,1.958225,0.000304,-0.000304,-0.000304,0.000304
0.252000,2.500000,-0.529656,-2.500000,3.029656,2.500000,2.500000,1.970344,0.000303,-0.000303,-0.000303,0.000303
0.254000,2.500000,-0.517586,-2.500000,3.017586,2.500000,2.500000,1.982414,0.000302,-0.000302,-0.000302,0.000302
0.256000,2.500000,-0.505564,-2.500000,3.005564,2.500000,2.500000,1.994436,0.000301,-0.000301,-0.000301,0.000301
0.258000,2.500000,-0.493589,-2.500000,2.993589,2.500000,2.500000,2.006411,0.000299,-0.000299,-0.000299,0.000299
0.260000,2.500000,-0.481663,-2.500000,2.981663,2.500000,2.500000,2.018337,0.000298,-0.000298,-0.000298,0.000298
0.262000,2.500000,-0.469784,-2.500000,2.969784,2.500000,2.500000,2.030216,0.000297,-0.000297,-0.000297,0.000297
0.264000,2.500000,-0.457952,-2.500000,2.957952,2.500000,2.500000,2.042048,0.000296,-0.000296,-0.000296,0.000296
0.266000,2.500000,-0.446167,-2.500000,2.946167,2.500000,2.500000,2.053833,0.000295,-0.000295,-0.000295,0.000295
0.268000,2.500000,-0.434429,-2.500000,2.934429,2.500000,2.500000,2.065571,0.000293,-0.000293,-0.000293,0.000293
0.270000,2.500000,-0.422738,-2.500000,2.922738,2.500000,2.500000,2.077262,0.000292,-0.000292,-0.000292,0.000292
0.272000,2.500000,-0.411094,-2.500000,2.911094,2.500000,2.500000,2.088906,0.000291,-0.000291,-0.000291,0.000291
0.274000,2.500000,-0.399496,-2.500000,2.899496,2.500000,2.500000,2.100504,0.000290,-0.000290,-0.000290,0.000290
0.276000,2.500000,-0.387944,-2.500000,2.887944,2.500000,2.500000,2.112056,0.000289,-0.000289,-0.000289,0.000289
0.278000,2.500000,-0.376439,-2.500000,2.876439,2.500000,2.500000,2.123561,0.000288,-0.000288,-0.000288,0.000288
0.280000,2.500000,-0.364979,-2.500000,2.864979,2.500000,2.500000,2.135021,0.000286,-0.000286,-0.000286,0.000286
0.282000,2.500000,-0.353564,-2.500000,2.853564,2.500000,2.500000,2.146436,0.000285,-0.000285,-0.000285,0.000285
0.284000,2.500000,-0.342196,-2.500000,2.842196,2.500000,2.500000,2.157804,0.000284,-0.000284,-0.000284,0.000284
0.286000,2.500000,-0.330872,-2.500000,2.830872,2.500000,2.500000,2.169128,0.000283,-0.000283,-0.000283,0.000283
0.288000,2.500000,-0.319594,-2.500000,2.819594,2.500000,2.500000,2.180406,0.000282,-0.000282,-0.000282,0.000282
0.290000,2.500000,-0.308360,-2.500000,2.808360,2.500000,2.500000,2.191640,0.000281,-0.000281,-0.000281,0.000281
0.292000,2.500000,-0.297172,-2.500000,2.797172,2.500000,2.500000,2.202828,0.000280,-0.000280,-0.000280,0.000280
0.294000,2.500000,-0.286027,-2.500000,2.786027,2.500000,2.500000,2.213973,0.000279,-0.000279,-0.000279,0.000279
0.296000,2.500000,-0.274928,-2.500000,2.774928,2.500000,2.500000,2.225072,0.000277,-0.000277,-0.000277,0.000277
0.298000,2.500000,-0.263872,-2.500000,2.763872,2.500000,2.500000,2.236128,0.000276,-0.000276,-0.000276,0.000276
0.300000,2.500000,-0.252861,-2.500000,2.752861,2.500000,2.500000,2.247139,0.000275,-0.000275,-0.000275,0.000275
0.302000,2.500000,-0.241893,-2.500000,2.741893,2.500000,2.500000,2.258107,0.000274,-0.000274,-0.000274,0.000274
0.304000,2.500000,-0.230969,-2.500000,2.730969,2.500000,2.500000,2.269031,0.000273,-0.000273,-0.000273,0.000273
0.306000,2.500000,-0.220089,-2.500000,2.720089,2.500000,2.500000,2.279911,0.000272,-0.000272,-0.000272,0.000272
0.308000,2.500000,-0.209252,-2.500000,2.709252,2.500000,2.500000,2.290748,0.000271,-0.000271,-0.000271,0.000271
0.310000,2.500000,-0.198458,-2.500000,2.698458,2.500000,2.500000,2.301542,0.000270,-0.000270,-0.000270,0.000270
0.312000,2.500000,-0.187707,-2.500000,2.687707,2.500000,2.500000,2.312293,0.000269,-0.000269,-0.000269,0.000269
0.314000,2.500000,-0.176999,-2.500000,2.676999,2.500000,2.500000,2.323001,0.000268,-0.000268,-0.000268,0.000268
0.316000,2.500000,-0.166334,-2.500000,2.666334,2.500000,2.500000,2.333666,0.000267,-0.000267,-0.000267,0.000267
0.318000,2.500000,-0.155711,-2.500000,2.655711,2.500000,2.500000,2.344289,0.000266,-0.000266,-0.000266,0.000266
0.320000,2.500000,-0.145131,-2.500000,2.645131,2.500000,2.500000,2.354869,0.000265,-0.000265,-0.000265,0.000265
0.322000,2.500000,-0.134592,-2.500000,2.634592,2.500000,2.500000,2.365408,0.000263,-0.000263,-0.000263,0.000263
0.324000,2.500000,-0.124096,-2.500000,2.624096,2.500000,2.500000,2.375904,0.000262,-0.000262,-0.000262,0.000262
0.326000,2.500000,-0.113641,-2.500000,2.613641,2.500000,2.500000,2.386359,0.000261,-0.000261,-0.000261,0.000261
0.328000,2.500000,-0.103228,-2.500000,2.603228,2.500000,2.500000,2.396772,0.000260,-0.000260,-0.000260,0.000260
0.330000,2.500000,-0.092857,-2.500000,2.592857,2.500000,2.500000,2.407143,0.000259,-0.000259,-0.000259,0.000259
0.332000,2.500000,-0.082527,-2.500000,2.582527,2.500000,2.500000,2.417473,0.000258,-0.000258,-0.000258,0.000258
0.334000,2.500000,-0.072238,-2.500000,2.572238,2.500000,2.500000,2.427762,0.000257,-0.000257,-0.000257,0.000257
0.336000,2.500000,-0.061990,-2.500000,2.561990,2.500000,2.500000,2.438010,0.000256,-0.000256,-0.000256,0.000256
0.338000,2.500000,-0.051783,-2.500000,2.551783,2.500000,2.500000,2.448217,0.000255,-0.000255,-0.000255,0.000255
0.340000,2.500000,-0.041616,-2.500000,2.541616,2.500000,2.500000,2.458384,0.000254,-0.000254,-0.000254,0.000254
0.342000,2.500000,-0.031490,-2.500000,2.531490,2.500000,2.500000,2.468510,0.000253,-0.000253,-0.000253,0.000253
0.344000,2.500000,-0.021405,-2.500000,2.521405,2.500000,2.500000,2.478595,0.000252,-0.000252,-0.000252,0.000252
0.346000,2.500000,-0.011359,-2.500000,2.511359,2.500000,2.500000,2.488641,0.000251,-0.000251,-0.000251,0.000251
0.348000,2.500000,-0.001354,-2.500000,2.501354,2.500000,2.500000,2.498646,0.000250,-0.000250,-0.000250,0.000250
0.350000,2.500000,0.008612,-2.500000,2.491388,2.500000,2.500000,2.508612,0.000249,-0.000249,-0.000249,0.000249
0.352000,2.500000,0.018537,-2.500000,2.481463,2.500000,2.500000,2.518537,0.000248,-0.000248,-0.000248,0.000248
0.354000,2.500000,0.028424,-2.500000,2.471576,2.500000,2.500000,2.528424,0.000247,-0.000247,-0.000247,0.000247
0.356000,2.500000,0.038271,-2.500000,2.461729,2.500000,2.500000,2.538271,0.000246,-0.000246,-0.000246,0.000246
0.358000,2.500000,0.048078,-2.500000,2.451922,2.500000,2.500000,2.548078,0.000245,-0.000245,-0.000245,0.000245
0.360000,2.500000,0.057847,-2.500000,2.442153,2.500000,2.500000,2.557847,0.000244,-0.000244,-0.000244,0.000244
0.362000,2.500000,0.067577,-2.500000,2.432423,2.500000,2.500000,2.567577,0.000243,-0.000243,-0.000243,0.000243
0.364000,2.500000,0.077268,-2.500000,2.422732,2.500000,2.500000,2.577268,0.000242,-0.000242,-0.000242,0.000242
0.366000,2.500000,0.086920,-2.500000,2.413080,2.500000,2.500000,2.586920,0.000241,-0.000241,-0.000241,0.000241
0.368000,2.500000,0.096534,-2.500000,2.403466,2.500000,2.500000,2.596534,0.000240,-0.000240,-0.000240,0.000240
0.370000,2.500000,0.106109,-2.500000,2.393891,2.500000,2.500000,2.606109,0.000239,-0.000239,-0.000239,0.000239
0.372000,2.500000,0.115647,-2.500000,2.384353,2.500000,2.500000,2.615647,0.000238,-0.000238,-0.000238,0.000238
0.374000,2.500000,0.125146,-2.500000,2.374854,2.500000,2.500000,2.625146,0.000237,-0.000237,-0.000237,0.000237
0.376000,2.500000,0.134608,-2.500000,2.365392,2.500000,2.500000,2.634608,0.000237,-0.000237,-0.000237,0.000237
0.378000,2.500000,0.144032,-2.500000,2.355968,2.500000,2.500000,2.644032,0.000236,-0.000236,-0.000236,0.000236
0.380000,2.500000,0.153418,-2.500000,2.346582,2.500000,2.500000,2.653418,0.000235,-0.000235,-0.000235,0.000235
0.382000,2.500000,0.162767,-2.500000,2.337233,2.500000,2.500000,2.662767,0.000234,-0.000234,-0.000234,0.000234
0.384000,2.500000,0.172079,-2.500000,2.327921,2.500000,2.500000,2.672079,0.000233,-0.000233,-0.000233,0.000233
0.386000,2.500000,0.181353,-2.500000,2.318647,2.500000,2.500000,2.681353,0.000232,-0.000232,-0.000232,0.000232
0.388000,2.500000,0.190591,-2.500000,2.309409,2.500000,2.500000,2.690591,0.000231,-0.000231,-0.000231,0.000231
0.390000,2.500000,0.199792,-2.500000,2.300208,2.500000,2.500000,2.699792,0.000230,-0.000230,-0.000230,0.000230
0.392000,2.500000,0.208956,-2.500000,2.291044,2.500000,2.500000,2.708956,0.000229,-0.000229,-0.000229,0.000229
0.394000,2.500000,0.218083,-2.500000,2.281917,2.500000,2.500000,2.718083,0.000228,-0.000228,-0.000228,0.000228
0.396000,2.500000,0.227175,-2.500000,2.272825,2.500000,2.500000,2.727175,0.000227,-0.000227,-0.000227,0.000227
0.398000,2.500000,0.236230,-2.500000,2.263770,2.500000,2.500000,2.736230,0.000226,-0.000226,-0.000226,0.000226
0.400000,2.500000,0.245249,-2.500000,2.254751,2.500000,2.500000,2.745249,0.000225,-0.000225,-0.000225,0.000225
0.402000,2.500000,0.254232,-2.500000,2.245768,2.500000,2.500000,2.754232,0.000225,-0.000225,-0.000225,0.000225
0.404000,2.500000,0.263179,-2.500000,2.236821,2.500000,2.500000,2.763179,0.000224,-0.000224,-0.000224,0.000224
0.406000,2.500000,0.272091,-2.500000,2.227909,2.500000,2.500000,2.772091,0.000223,-0.000223,-0.000223,0.000223
0.408000,2.500000,0.280967,-2.500000,2.219033,2.500000,2.500000,2.780967,0.000222,-0.000222,-0.000222,0.000222
0.410000,2.500000,0.289808,-2.500000,2.210192,2.500000,2.500000,2.789808,0.000221,-0.000221,-0.000221,0.000221
0.412000,2.500000,0.298613,-2.500000,2.201387,2.500000,2.500000,2.798613,0.000220,-0.000220,-0.000220,0.000220
0.414000,2.500000,0.307384,-2.500000,2.192616,2.500000,2.500000,2.807384,0.000219,-0.000219,-0.000219,0.000219
0.416000,2.500000,0.316119,-2.500000,2.183881,2.500000,2.500000,2.816119,0.000218,-0.000218,-0.000218,0.000218
0.418000,2.500000,0.324820,-2.500000,2.175180,2.500000,2.500000,2.824820,0.000218,-0.000218,-0.000218,0.000218
0.420000,2.500000,0.333486,-2.500000,2.166514,2.500000,2.500000,2.833486,0.000217,-0.000217,-0.000217,0.000217
0.422000,2.500000,0.342118,-2.500000,2.157882,2.500000,2.500000,2.842118,0.000216,-0.000216,-0.000216,0.000216
